iter	R2	RMSE
217	0.7063474985	0.01738821823
218	0.706792377	0.01737504181
219	0.707079233	0.0173665404
220	0.708128493	0.0173354085
221	0.7085867805	0.01732179339
222	0.7088100818	0.01731515553
223	0.7099020198	0.01728265984
224	0.7103778524	0.0172684801
225	0.7113581036	0.017239232
226	0.7124359595	0.01720701425
227	0.7128431906	0.01719482615
228	0.7146960414	0.01713926243
229	0.7149879514	0.01713049213
230	0.7157872791	0.01710645368
231	0.717161989	0.01706503239
232	0.7174317829	0.01705689144
233	0.7176740934	0.01704957648
234	0.7184242228	0.01702691137
235	0.7184964876	0.0170247263
236	0.719820115	0.01698465407
237	0.7201408839	0.0169749287
238	0.7204588774	0.01696528197
239	0.7213698158	0.0169376171
240	0.7217447084	0.01692621861
241	0.7219813098	0.01691902087
242	0.7220988682	0.01691544344
243	0.7229347485	0.01688998487
244	0.7239347731	0.01685947641
245	0.7246901407	0.01683639522
246	0.7255584493	0.01680982383
247	0.7262791137	0.01678773861
248	0.7273775373	0.01675402071
249	0.7280785969	0.01673246503
250	0.7284922468	0.01671973338
251	0.729646843	0.01668414488
252	0.7297594431	0.0166806701
253	0.7299285473	0.01667545028
254	0.730163074	0.01666820834
255	0.7316510498	0.01662218762
256	0.7324396562	0.01659774555
257	0.7327086405	0.01658940041
258	0.7335951847	0.01656186594
259	0.733718464	0.01655803348
260	0.7340642595	0.01654727879
261	0.7344406986	0.01653556308
262	0.7347106739	0.01652715568
263	0.7352171306	0.01651137237
264	0.7355932418	0.0164996414
265	0.7365756846	0.01646895943
266	0.736822272	0.01646124946
267	0.7371117586	0.01645219356
