iter	R2	RMSE
0	0.03192034072	0.03157139539
1	0.06317988863	0.03105748845
2	0.09005990236	0.03060868213
3	0.1141613402	0.03020059815
4	0.1381456597	0.02978894799
5	0.1622652194	0.0293691585
6	0.1811427958	0.02903636967
7	0.2014414138	0.02867422056
8	0.218027246	0.02837488045
9	0.2344604867	0.02807514678
10	0.2505501155	0.02777854717
11	0.2638272445	0.02753138757
12	0.278273167	0.02725992495
13	0.2901465277	0.02703476415
14	0.3026376071	0.02679584712
15	0.313458317	0.02658714382
16	0.3239020486	0.02638414589
17	0.3335078911	0.02619604547
18	0.3454511153	0.02596027408
19	0.3544296202	0.02578160959
20	0.3628335843	0.02561324879
21	0.3706657233	0.02545534121
22	0.379066494	0.02528487304
23	0.3860545851	0.02514219034
24	0.3925630301	0.02500856889
25	0.3999614771	0.0248558029
26	0.4058438987	0.02473366705
27	0.4132705361	0.02457860208
28	0.4179166786	0.02448109321
29	0.4230073386	0.02437380737
30	0.4271333677	0.02428650342
31	0.4323830297	0.02417496842
32	0.437873984	0.0240577536
33	0.4449903263	0.02390498668
34	0.4483240704	0.02383308421
35	0.4548181157	0.02369239354
36	0.4580979931	0.02362101794
37	0.4633689677	0.02350585871
38	0.4667026297	0.02343273336
39	0.4716516818	0.02332375089
40	0.4772826796	0.02319912875
41	0.4808052368	0.02312082792
42	0.485273411	0.02302112438
43	0.4905270878	0.02290333782
44	0.492937515	0.02284909324
45	0.4958751956	0.02278280867
46	0.4992590107	0.0227062179
47	0.5012318386	0.02266144458
48	0.5058441668	0.02255642105
49	0.5104384449	0.02245132013
50	0.5123763127	0.02240684071
51	0.5142562219	0.02236360706
52	0.5169666651	0.02230112548
53	0.520791079	0.02221266551
54	0.5225016228	0.02217298584
55	0.5270603561	0.02206688795
56	0.5288419073	0.02202528604
57	0.5319628159	0.02195221809
58	0.5352425483	0.02187516868
59	0.5389785532	0.02178706828
60	0.5417004534	0.02172265694
61	0.5431804298	0.02168755433
62	0.5459467155	0.02162178978
63	0.5497125107	0.02153194045
64	0.5526229977	0.02146224051
65	0.5564631995	0.02136992802
66	0.5584011219	0.02132319166
67	0.5601406806	0.02128115175
68	0.5615290924	0.02124753833
69	0.5629586604	0.02121287286
70	0.5646186369	0.02117254902
71	0.5655530884	0.02114981568
72	0.5675700867	0.02110066264
73	0.5688023057	0.02107057778
74	0.5697863936	0.0210465202
75	0.5709022992	0.02101920682
76	0.5719080317	0.02099455963
77	0.5728281509	0.02097198517
78	0.573991201	0.02094341577
79	0.575068073	0.02091692846
80	0.5804780594	0.02078335085
81	0.5810714204	0.02076864793
82	0.5835622105	0.02070681465
83	0.5846209451	0.02068047581
84	0.5857972818	0.02065117191
85	0.5881099637	0.02059343878
86	0.5904162124	0.02053570461
87	0.5914330128	0.0205101986
88	0.5946182003	0.02043009344
89	0.5953499733	0.02041164547
90	0.5975040718	0.02035724368
91	0.5981806008	0.02034012791
92	0.598753915	0.02032561213
93	0.6004175446	0.02028343176
94	0.6013307006	0.02026024189
95	0.6022125028	0.02023782304
96	0.6025621216	0.02022892749
97	0.6035735438	0.02020317124
98	0.6042606226	0.02018565577
99	0.6052296763	0.02016092614
100	0.6058276589	0.02014565086
101	0.6078487181	0.0200939376
102	0.6089758486	0.02006503958
103	0.6101295274	0.02003541774
104	0.611716195	0.0199946068
105	0.6130598212	0.01995998193
106	0.6138148802	0.01994049788
107	0.6154822371	0.01989740469
108	0.6166690197	0.01986667511
109	0.6171278214	0.01985478252
110	0.6176365598	0.0198415872
111	0.6182577937	0.01982546212
112	0.6188433356	0.01981025147
113	0.6207359313	0.01976100735
114	0.6211844316	0.01974931966
115	0.6230979838	0.01969937557
116	0.6240399834	0.01967474262
117	0.624603511	0.01965999183
118	0.6265648513	0.01960856562
119	0.6274128049	0.01958629053
120	0.6282725484	0.01956367984
121	0.6292739345	0.01953731104
122	0.6300030129	0.01951809033
123	0.630770913	0.01949782566
124	0.6311344543	0.01948822456
125	0.6329495824	0.01944021622
126	0.6333432251	0.01942978911
127	0.6350955345	0.01938330452
128	0.6360043643	0.01935915148
129	0.6371793033	0.01932788158
130	0.6382832378	0.01929845524
131	0.6391152971	0.01927624629
132	0.6400454637	0.01925138836
133	0.6410364828	0.01922486884
134	0.6417398327	0.01920602509
135	0.6424715965	0.01918640045
136	0.6428777957	0.01917549821
137	0.6448825561	0.01912160016
138	0.645910754	0.019093898
139	0.646311646	0.0190830861
140	0.6471683449	0.01905996069
141	0.6487983338	0.01901588374
142	0.6503624367	0.01897349216
143	0.6515827281	0.01894035295
144	0.6528817637	0.01890501146
145	0.6535010109	0.01888814098
146	0.6551472695	0.01884321764
147	0.656288267	0.01881201899
148	0.6570357513	0.01879155221
149	0.6580227185	0.01876449399
150	0.658287935	0.01875721628
151	0.6589066715	0.01874022679
152	0.6593200058	0.01872886871
153	0.6595183358	0.01872341633
154	0.6602033224	0.01870457281
155	0.6612811499	0.018674884
156	0.6620794315	0.01865286484
157	0.663413657	0.01861600449
158	0.6636433674	0.01860965096
159	0.6643562924	0.01858991845
160	0.6651634295	0.018567553
161	0.6657610036	0.01855097709
162	0.6666015576	0.01852763613
163	0.6670595434	0.01851490616
164	0.6675392756	0.01850156233
165	0.6681574151	0.01848435448
166	0.6684793677	0.01847538557
167	0.6687572659	0.01846764043
168	0.6691159001	0.01845764033
169	0.6694474549	0.01844839048
170	0.67091091	0.01840750691
171	0.6717232107	0.01838477496
172	0.6724275114	0.01836504259
173	0.6732872892	0.01834092543
174	0.67362883	0.01833133626
175	0.6740272928	0.01832014258
176	0.6744538166	0.01830815303
177	0.6759033587	0.01826734769
178	0.6773299654	0.0182270988
179	0.677754091	0.01821511578
180	0.6786614388	0.01818945355
181	0.6788980233	0.01818275635
182	0.680594453	0.01813466164
183	0.6817998874	0.01810040924
184	0.6822212049	0.01808842222
185	0.6825023201	0.01808041971
186	0.6838346024	0.01804244534
187	0.6841402692	0.01803372157
188	0.6844243063	0.01802561133
189	0.6849504486	0.01801057849
190	0.6856053958	0.01799184793
191	0.6861015884	0.01797764452
192	0.6866293633	0.01796252476
193	0.6867729289	0.01795840967
194	0.6874121758	0.01794007517
195	0.6877803826	0.01792950598
196	0.688487197	0.01790919973
197	0.690574582	0.0178490959
198	0.6910596596	0.01783509964
199	0.6915942066	0.01781966329
200	0.6917848502	0.01781415475
201	0.6923099932	0.01779897223
202	0.6926672196	0.01778863697
203	0.6935382422	0.01776341139
204	0.6938313558	0.0177549145
205	0.6959222233	0.01769418527
206	0.696295501	0.01768332148
207	0.6973432929	0.01765279107
208	0.6976559498	0.01764367068
209	0.6979258243	0.01763579449
210	0.6980667592	0.01763167995
211	0.6992501834	0.01759709243
212	0.7011853734	0.01754038637
213	0.7023330674	0.01750666921
214	0.7034707421	0.01747318218
215	0.7047347264	0.01743590186
216	0.7056517526	0.01740880485
